Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
41f73891-9ea1-4af0-a55b-7db032c17d0a,"2020-07-15, 03:35:53 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
82537e94-5b3e-4682-b2c0-f731659b07a2,"2020-07-15, 03:35:53 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,191.89.101.45
8deb5ade-adc0-411c-975d-edb1a9b7e2d3,"2020-07-15, 03:35:53 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAVSNZ3VLF6IDZ3DRBM""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::383178746571:user/CloudTrail""}]",,us-east-1,,191.89.101.45
07cd5f65-c9ef-474c-9edc-ea30fd1fa284,"2020-07-15, 03:35:12 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,191.89.101.45
ce32b96d-371e-4b18-915d-7669f2ecc3ba,"2020-07-15, 03:35:12 PM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,191.89.101.45
148c64cd-4e7b-47ef-84da-43e80d8bc702,"2020-07-15, 03:35:11 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,191.89.101.45
b814dac6-c78c-4405-89ff-4aab07a57075,"2020-07-15, 03:35:11 PM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,191.89.101.45
28854ff7-ff7c-48a1-800d-5fd8b90a771f,"2020-07-15, 03:34:21 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,191.89.101.45
8ead13be-febc-45cf-8f7a-7f06076b9dc3,"2020-07-15, 03:34:21 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVSNZ3VLF7VCTXEHJP""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::383178746571:group/Reviewers""}]",,us-east-1,,191.89.101.45
52cb8a83-7159-4219-98b3-363699f4636d,"2020-07-15, 03:34:03 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
2edac4ea-f0b6-4d7a-b61b-a9b1ad5a4620,"2020-07-15, 03:34:02 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
834ef37a-b71a-40c3-95a5-691ecacce8c9,"2020-07-15, 03:34:02 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::383178746571:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAVSNZ3VLFZT37G45KA""}]",,us-east-1,,191.89.101.45
094871a9-ec04-4e61-b7da-7552bd8e096f,"2020-07-15, 03:32:35 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
209fc7c3-d445-4c3a-bdbd-b4e26c39c937,"2020-07-15, 03:32:35 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,191.89.101.45
2ba9f99d-5186-4aad-8e60-8d2c549f4206,"2020-07-15, 03:32:35 PM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,191.89.101.45
479ce247-c15a-4afd-8406-a17743e26046,"2020-07-15, 03:32:35 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
6a924a74-f936-4399-ac6e-b2523b8d2acb,"2020-07-15, 03:32:35 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
99acd091-7902-4ba7-8780-af603a25ac96,"2020-07-15, 03:32:35 PM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,191.89.101.45
9e1c9f07-f256-4419-8333-87c9a8a0fc5e,"2020-07-15, 03:32:35 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,191.89.101.45
90ecb055-c8e0-4a0e-ac06-d4da7f2bb247,"2020-07-15, 03:31:07 PM",root,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtraillogs""}]",,us-east-1,,191.89.101.45
4eac02f9-2ffe-46ee-bce7-ff4b7e60f981,"2020-07-15, 03:31:05 PM",root,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtraillogs""}]",,us-east-1,BucketNotEmpty,191.89.101.45
b6f28f53-45b5-4345-a6bb-f2a5940144f8,"2020-07-15, 03:29:16 PM",root,ConsoleLogin,,,,us-east-1,,191.89.101.45
