"resources__accountId","eventVersion","userIdentity__type","userIdentity__invokedBy","userIdentity__principalId","userIdentity__arn","userIdentity__accountId","userIdentity__accessKeyId","userIdentity__userName","userIdentity__sessionContext__attributes__creationDate","userIdentity__sessionContext__attributes__mfaAuthenticated","eventTime","eventSource","eventName","awsRegion","sourceIPAddress","userAgent","requestParameters__list-type","requestParameters__bucketName","requestParameters__max-keys","requestParameters__fetch-owner","requestParameters__prefix","requestParameters__delimiter","requestParameters__Host","requestParameters__x-amz-acl","requestParameters__x-amz-server-side-encryption","requestParameters__key","responseElements__x-amz-server-side-encryption","responseElements","additionalEventData__SignatureVersion","additionalEventData__CipherSuite","additionalEventData__bytesTransferredIn","additionalEventData__SSEApplied","additionalEventData__AuthenticationMethod","additionalEventData__x-amz-id-2","additionalEventData__bytesTransferredOut","requestID","eventID","readOnly","resources__type","resources__ARN","resources__ARNPrefix","eventType","managementEvent","recipientAccountId","sharedEventID","vpcEndpointId","eventCategory"
"","1.07","AWSService","cloudtrail.amazonaws.com","","","","","","","","2020-07-14T04:44:18Z","s3.amazonaws.com","PutObject","us-east-1","cloudtrail.amazonaws.com","cloudtrail.amazonaws.com","","udacity-cloudtraillogs","","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","bucket-owner-full-control","AES256","AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_NVJJ5S5GJhk5nE6Q.json.gz","AES256","","SigV4","ECDHE-RSA-AES128-SHA","1330.0","SSE_S3","AuthHeader","DuPgFR+3p5bN/3+UftEpy0iDmLPXpyxRElbi+ZsOfpD3JYKJC/t/38ZbUQuXOlj/JP3x4kg8900=","0.0","3932028167F95D26","018064ba-1d2b-4d51-8c37-54ba9ec5d0e6","False","AWS::S3::Object","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_NVJJ5S5GJhk5nE6Q.json.gz","","AwsApiCall","False","383178746571","9488d7af-566a-4636-a0d0-4dabbc30aac6","","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","AWSService","cloudtrail.amazonaws.com","","","","","","","","2020-07-14T04:44:43Z","s3.amazonaws.com","PutObject","us-east-1","cloudtrail.amazonaws.com","cloudtrail.amazonaws.com","","udacity-cloudtraillogs","","","","","udacity-cloudtraillogs.s3.us-east-1.amazonaws.com","bucket-owner-full-control","AES256","AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_UOaYpGBXD58P80q1.json.gz","AES256","","SigV4","ECDHE-RSA-AES128-SHA","843.0","SSE_S3","AuthHeader","LGAAOJXE+HYX6EUrUh+llJOY7tThClDwYY6lXFvDj3Zag3CsxBKz5A0WI+u4A6VyX2it3DxGGQA=","0.0","EEF11971DD6D038D","ecfecf4f-a366-4977-9e53-31a7c39e81c2","False","AWS::S3::Object","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/CloudTrail/us-east-1/2020/07/14/383178746571_CloudTrail_us-east-1_20200714T0440Z_UOaYpGBXD58P80q1.json.gz","","AwsApiCall","False","383178746571","3a6aadb5-5fa4-4157-ae84-59b002cb7825","","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:52Z","s3.amazonaws.com","ListObjects","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","2","udacity-cloudtraillogs","300","true","AWSLogs/383178746571/CloudTrail-Digest/","/","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","Fn1hxNxOeqVg76C/6UVDA/NfSTg+i5yoGCytrpid1tDGMN1h31G763omzyZnkBxeFe2afTUg6E0=","547.0","BPCHCK3N1WAS5R9Y","c7af3b6a-3364-4f4b-b9d2-4e6cb0a6f10f","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/383178746571/CloudTrail-Digest/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:59Z","s3.amazonaws.com","ListObjects","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","2","udacity-cloudtraillogs","300","true","","/","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","/cSue6YT/ddsYtuzJKc2asaqPBC5Gmo1pq9p8y2d2T3a08c9IUCMXhfIpDZ+ys4udgS79rgV/MM=","334.0","E4ABF8F88DCF5BC7","17b999dd-5ac8-4fe1-a6e5-279993a24de4","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:44:57Z","s3.amazonaws.com","ListObjects","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","2","udacity-cloudtraillogs","300","true","AWSLogs/","/","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","XKgHMoPqjBRlsCTOaZbEkPmoxHhonDHVjRnxe37803oEvfVAMHipkA40yTTmY9rG7Et2kuKfaG0=","355.0","C20C80DDE0B0FED6","e6340b50-2039-43fd-9838-3aeac463f4e5","True","AWS::S3::Object","","arn:aws:s3:::udacity-cloudtraillogs/AWSLogs/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-cloudtraillogs","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:45:02Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","elasticbeanstalk-us-east-1-383178746571","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","suIMYBZcVrRsIy6u852RTYM1KCvZ/hsTHHscjx0FdeW3wr74QiVt0Mjs+81QpZBGMajHTOL9tVo=","0.0","BC9622B979FAB30B","b74467a4-bda4-452a-ac5d-b93956bf4ec5","True","AWS::S3::Object","","arn:aws:s3:::elasticbeanstalk-us-east-1-383178746571/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::elasticbeanstalk-us-east-1-383178746571","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:45:02Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","cicd-workshop-us-east-1-383178746571","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","/3IJ5fjFi2iyVU4k7tqxfI4tBxlXS0yLuz8vwHnzDvZB9r5r08DhFJhQADcOxR9LB3afp+ZOn44=","0.0","36CEC164C0C8A4E0","fd2cc800-4780-4465-9bd6-ea5f926c5644","True","AWS::S3::Object","","arn:aws:s3:::cicd-workshop-us-east-1-383178746571/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::cicd-workshop-us-east-1-383178746571","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:45:02Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","udacity-exercise1","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","KrX47WnxVvwi2XiYCkOEGHki6r5ImQ+iyP7TikCmKpufYPVseIw1jf5oNA4w63cKY6HYe1hm5cE=","0.0","3952C64842621319","6979cf0c-ba6b-4ad6-a46a-8703ccb446d4","True","AWS::S3::Object","","arn:aws:s3:::udacity-exercise1/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::udacity-exercise1","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:45:02Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","cloud9-383178746571-sam-deployments-us-east-1","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","f5yk1ESO6fAUPnIeEBqxhJXIwZlUDQSe+eOwHXjLRgHt90uGcyNV+ndobJ+vfMJ8NJey+vKKiSo=","0.0","5F789CE810B5F79C","e06849dd-b0ba-41c6-8dd2-e11761c4100c","True","AWS::S3::Object","","arn:aws:s3:::cloud9-383178746571-sam-deployments-us-east-1/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::cloud9-383178746571-sam-deployments-us-east-1","","","","","","",""
"","1.07","IAMUser","","AIDAVSNZ3VLF6GST3KUR4","arn:aws:iam::383178746571:user/CloudTrail","383178746571","ASIAVSNZ3VLFRBSIWNGH","CloudTrail","2020-07-14T04:42:47Z","false","2020-07-14T04:45:02Z","s3.amazonaws.com","HeadBucket","us-east-1","191.89.101.45","[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]","","cf-templates-1iw7wcd3axotj-us-east-1","","","","","s3.amazonaws.com","","","","","null","SigV4","ECDHE-RSA-AES128-SHA","0.0","","AuthHeader","yr2lVidysM2bIU7br7Vn/sAJ5EMITriBkw9oA2IjbWtw9hMQeMNZ4ZO7ch3G9eO68HNxBwInY3g=","0.0","5F07E2C4A8DAB9C0","63651508-1e01-4fd6-80d6-1fcbf1944fa1","True","AWS::S3::Object","","arn:aws:s3:::cf-templates-1iw7wcd3axotj-us-east-1/","AwsApiCall","False","383178746571","","vpce-f40dc59d","Data"
"383178746571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AWS::S3::Bucket","arn:aws:s3:::cf-templates-1iw7wcd3axotj-us-east-1","","","","","","",""
